YMD,REGION_ID,BEGIN_WEATHER,END_WEATHER,WIND_VELOCITY,RAIN_PROBABILITY,HIGH_TEMP,LOW_TEMP,MAX_VALUE,MIN_VALUE,AVG_VALUE,FAULT_COUNT_TOTAL
20150126,1,4,4,2,70,7,11,2024745970.000000,987867980.000000,1624121996.111111,298
20150127,1,4,0,2,70,4,7,2218346920.000000,1049972050.000000,1748858193.611111,324
20150128,1,0,4,2,80,3,5,2253116940.000000,1084925050.000000,1796375586.215278,391
20150129,1,2,0,4,90,3,6,2410147950.000000,1141635990.000000,1911723525.659722,406
20150130,1,0,0,2,70,2,6,2384810060.000000,1133052000.000000,1880591412.083333,417
20150131,1,5,4,2,40,2,6,2158508060.000000,1117564940.000000,1698152389.583333,418
20150201,1,4,4,4,60,3,7,2096732910.000000,1058069950.000000,1603771651.770833,483
20150202,1,4,4,4,60,4,7,2337469970.000000,1042938960.000000,1812942328.298611,408
20150203,1,4,4,4,60,5,8,2378521000.000000,1119090940.000000,1879830877.430556,367
20150204,1,5,6,2,30,4,9,2374856930.000000,1124864010.000000,1879775680.000000,364
20150205,1,5,5,2,20,2,7,2383955080.000000,1162989010.000000,1883146914.548611,377
20150206,1,5,5,4,20,1,8,2403160890.000000,1121198970.000000,1878117177.291667,321
20150207,1,5,5,4,30,3,11,2110728030.000000,1150146970.000000,1658178472.638889,374
20150208,1,5,6,2,20,2,4,2141325930.000000,1141550050.000000,1695286974.097222,424
20150209,1,5,5,4,10,-1,5,2376575930.000000,1165472050.000000,1885398488.576389,443
20150210,1,5,5,4,10,0,10,2409221920.000000,1181140990.000000,1872122173.506944,377
20150211,1,5,5,4,10,3,15,2115522950.000000,1058274050.000000,1688267672.465278,403
20150212,1,5,5,4,10,6,13,2121351070.000000,1036656980.000000,1683366076.562500,374
20150213,1,5,5,4,20,5,13,2038280030.000000,1053745000.000000,1642374333.229167,318
20150214,1,5,4,2,60,6,17,1702479980.000000,1040979000.000000,1415701465.729167,276
20150215,1,4,4,4,90,12,17,1868124020.000000,1006064030.000000,1509478517.657343,277
20150216,1,4,5,2,40,12,16,1754906010.000000,968565000.000000,1433433838.263889,231
20150217,1,5,5,4,20,6,14,1739478030.000000,887265010.000000,1384062248.571429,200
20150218,1,5,5,2,20,5,12,1357968990.000000,775437990.000000,1138992960.277778,214
20150219,1,6,5,4,20,4,11,1366739990.000000,712763000.000000,1064943734.201389,146
20150220,1,4,4,2,80,5,12,1391277950.000000,800901980.000000,1114066538.611111,199
20150221,1,4,4,4,90,9,11,1417088010.000000,752385010.000000,1098121939.097222,178
20150222,1,4,4,4,70,7,9,1425766970.000000,758374020.000000,1113529910.208333,192
20150223,1,4,4,4,60,3,10,1448640990.000000,747861020.000000,1127939724.965278,185
20150224,1,4,4,4,80,6,11,1499711060.000000,758336000.000000,1145204524.722222,246
20150225,1,4,2,4,90,7,10,1828703000.000000,843969970.000000,1397037017.013889,291
20150226,1,4,4,2,60,8,11,2084559080.000000,930945010.000000,1651113514.131944,300
20150227,1,4,2,2,90,3,7,2223893070.000000,1053125000.000000,1723733396.909722,306
20150228,1,4,4,2,90,4,7,2239566890.000000,1079250000.000000,1767116574.270833,351
20150301,1,5,5,2,30,3,9,1952494020.000000,1088581050.000000,1553871050.486111,319
20150302,1,5,4,4,60,3,12,2136535890.000000,1050118040.000000,1702197282.361111,292
20150303,1,5,4,2,40,8,13,2154885010.000000,1079886960.000000,1708391947.638889,282
20150304,1,4,0,4,60,3,7,2281051030.000000,1048828980.000000,1782253945.729167,285
20150305,1,0,0,4,90,4,6,2292250000.000000,1125974980.000000,1837463985.312500,291
20150306,1,4,4,4,60,4,9,2275541990.000000,1170154050.000000,1842167500.763889,279
20150307,1,4,4,4,30,6,10,2063305910.000000,1113271970.000000,1634416293.055556,312
20150308,1,4,4,4,60,7,11,1914099000.000000,1060478030.000000,1518671784.687500,309
20150309,1,4,4,2,40,5,11,2147976070.000000,1063609990.000000,1724324729.027778,282
20150310,1,5,5,2,20,2,7,2258810060.000000,1099734990.000000,1804570549.756944,285
20150311,1,6,5,4,20,3,11,2268298100.000000,1142656010.000000,1782453231.666667,283
20150312,1,5,5,4,20,5,16,2028922970.000000,1115583980.000000,1626730424.166667,254
20150313,1,5,5,4,20,7,20,1921682010.000000,914280030.000000,1522029031.875000,228
20150314,1,5,4,4,80,10,15,1614619020.000000,840106990.000000,1260862027.604167,230
20150315,1,4,4,4,90,10,13,1568422000.000000,792820980.000000,1194134030.000000,264
20150316,1,4,4,4,60,11,15,1860711060.000000,784880000.000000,1414305970.451389,250
20150317,1,4,4,2,80,12,19,1809073000.000000,856172000.000000,1391055423.437500,285
20150318,1,4,4,4,80,15,21,1658568970.000000,789174990.000000,1317463732.500000,292
20150319,1,4,4,4,60,10,15,1907099980.000000,813005000.000000,1472706667.013889,290
20150320,1,4,4,4,90,10,14,1877616940.000000,865583980.000000,1457344551.631944,207
20150321,1,5,5,4,30,10,20,1565681030.000000,815531980.000000,1224069241.944444,276
20150322,1,5,5,4,20,12,20,1558479000.000000,767818970.000000,1183764880.277778,227
20150323,1,5,5,4,30,10,15,1764253050.000000,773375980.000000,1384123175.590278,253
20150324,1,6,5,4,20,9,15,1723666990.000000,863314030.000000,1368858388.437500,225
20150325,1,5,5,4,20,8,16,1703975950.000000,846177980.000000,1366723955.555556,249
20150326,1,5,4,2,70,9,17,1667839970.000000,874151980.000000,1352620418.923611,263
20150327,1,4,4,4,80,10,13,1695887940.000000,854284000.000000,1370051896.527778,250
20150328,1,5,6,4,30,9,20,1476562990.000000,825630000.000000,1189068879.479167,276
20150329,1,5,4,4,60,11,24,1481453000.000000,816588010.000000,1169003176.979167,272
20150330,1,4,4,2,90,14,17,1652906010.000000,816452030.000000,1322724580.763889,235
20150331,1,5,4,4,60,15,27,1591225950.000000,765905030.000000,1291061276.906475,270
20150401,1,5,4,4,60,18,26,1589880980.000000,717200990.000000,1254685587.604167,254
20150402,1,5,4,2,70,17,31,1552333010.000000,792008970.000000,1263588621.041667,324
20150403,1,4,4,4,60,14,16,1612917970.000000,755877990.000000,1271921845.853659,216
20150404,1,1,1,4,90,13,19,1470189940.000000,767179990.000000,1131205685.416667,192
20150405,1,1,1,4,90,14,16,1495422000.000000,776054990.000000,1134948465.729167,168
20150406,1,4,4,2,90,10,13,1574092040.000000,791135010.000000,1188985789.618056,220
20150407,1,4,4,2,80,7,10,1695515990.000000,808068970.000000,1334704312.787456,235
20150408,1,5,5,4,20,5,13,1795630000.000000,833177000.000000,1382853943.263889,225
20150409,1,5,4,4,60,7,14,1699512940.000000,873948970.000000,1374820209.930556,231
20150410,1,5,5,4,30,10,17,1641771970.000000,870245000.000000,1342405756.979167,236
20150411,1,6,5,4,10,9,18,1481531980.000000,833510010.000000,1191953477.916667,209
20150412,1,5,4,4,60,12,20,1503837040.000000,831356020.000000,1185903396.111111,210
20150413,1,4,4,3,60,10,14,1687412960.000000,828655030.000000,1350154237.048611,253
20150414,1,4,5,3,90,8,14,1684421020.000000,875359990.000000,1371193855.470383,231
20150415,1,6,5,2,20,11,23,1662578000.000000,854372990.000000,1326626023.519164,199
20150416,1,4,4,4,60,16,23,1622688960.000000,816405030.000000,1311323585.069444,167
20150417,1,5,4,2,30,12,20,1630067990.000000,838911990.000000,1314755655.486111,183
20150418,1,4,4,4,70,16,26,1499837040.000000,827133970.000000,1179917952.326389,197
20150419,1,4,1,4,90,18,25,1473651000.000000,798767030.000000,1151144244.529617,223
20150420,1,4,4,2,60,12,16,1647787960.000000,822870000.000000,1319015429.236111,163
20150421,1,5,5,4,10,10,20,1584142940.000000,818370000.000000,1288272397.881944,218
20150422,1,5,5,4,10,11,25,1598206050.000000,836169980.000000,1293008107.500000,295
20150423,1,5,5,4,10,14,25,1568420040.000000,818838010.000000,1278820754.791667,290
20150424,1,5,5,4,20,16,23,1573373050.000000,811698970.000000,1258697291.875000,245
20150425,1,5,5,4,10,14,26,1468036990.000000,762531980.000000,1161216178.333333,207
20150426,1,5,5,4,10,17,27,1426047970.000000,762067020.000000,1136713763.194444,229
20150427,1,5,5,2,30,18,27,1556688960.000000,726948000.000000,1225747517.604167,251
20150428,1,4,4,4,70,19,30,1633836060.000000,794643010.000000,1283194721.250000,245
20150429,1,4,5,2,40,17,22,1646027950.000000,795806030.000000,1309604888.919861,241
20150430,1,5,5,4,20,15,26,1637708010.000000,798140990.000000,1285113245.104167,214
20150501,1,4,4,4,10,16,25,1466186040.000000,762239990.000000,1166500842.048611,164
20150502,1,4,4,2,90,17,24,1518714970.000000,772591980.000000,1195364379.097222,175
20150503,1,5,5,4,30,16,23,1399937990.000000,772562010.000000,1137867106.898955,158
20150504,1,5,4,4,30,17,24,1611630980.000000,770877990.000000,1270524246.354167,175
20150505,1,5,4,4,30,15,24,1671310060.000000,803010990.000000,1311349994.390244,141
20150506,1,4,4,4,60,17,23,1661199950.000000,808427000.000000,1314958535.138889,180
20150507,1,5,5,4,30,17,27,1709688960.000000,821895020.000000,1347707232.222222,177
20150508,1,4,4,2,80,17,25,1749608030.000000,835838010.000000,1375988666.180556,169
20150509,1,4,5,4,60,17,21,1502927000.000000,807716980.000000,1192256480.696864,173
20150510,1,5,4,4,60,16,24,1500112060.000000,804078980.000000,1187211172.291667,159
20150511,1,4,5,2,90,18,21,1714097050.000000,805151980.000000,1347904941.875000,187
20150512,1,5,5,2,10,14,27,1697733030.000000,844138000.000000,1341062778.263889,239
20150513,1,6,5,4,20,17,31,1729708980.000000,804002990.000000,1350356457.465278,231
20150514,1,4,4,4,70,22,27,1847000980.000000,835643980.000000,1420041637.708333,251
20150515,1,4,4,4,90,20,25,1934751950.000000,854359010.000000,1468211589.375000,249
